,date,TMAX,TMIN,TAVG
20,2013-01-04,47.0,15.0,31.0
20,2019-01-04,62.0,30.0,46.0
20,2011-01-04,38.0,7.0,22.5
20,2014-01-20,47.0,22.0,34.5
20,2020-01-04,62.0,28.0,45.0
20,2009-01-04,24.0,10.0,17.0
20,2023-01-04,30.0,11.0,20.5
20,2017-01-04,12.0,4.0,8.0
20,2010-01-04,36.0,11.0,23.5
20,2015-01-04,36.0,-10.0,13.0
20,2021-01-04,57.0,26.0,41.5
20,2022-01-04,47.0,18.0,32.5
21,2023-01-05,30.0,10.0,20.0
21,2020-01-05,45.0,23.0,34.0
21,2016-01-05,45.0,23.0,34.0
21,2011-01-05,43.0,20.0,31.5
21,2015-01-05,56.0,-5.0,25.5
21,2017-01-05,5.0,-2.0,1.5
21,2009-01-05,47.0,7.0,27.0
21,2014-01-21,63.0,25.0,44.0
21,2019-01-05,60.0,33.0,46.5
21,2021-01-05,55.0,28.0,41.5
21,2022-01-05,34.0,1.0,17.5
21,2010-01-05,47.0,19.0,33.0
21,2018-01-05,56.0,25.0,40.5
21,2012-01-05,65.0,40.0,52.5
21,2013-01-05,37.0,16.0,26.5
22,2012-01-06,48.0,24.0,36.0
22,2016-01-06,46.0,19.0,32.5
22,2013-01-06,47.0,13.0,30.0
22,2011-01-06,54.0,24.0,39.0
22,2017-01-06,20.0,-7.0,6.5
22,2021-01-06,44.0,20.0,32.0
22,2019-01-06,58.0,30.0,44.0
22,2015-01-06,49.0,20.0,34.5
22,2009-01-06,42.0,24.0,33.0
22,2020-01-06,43.0,23.0,33.0
22,2010-01-06,42.0,-6.0,18.0
22,2018-01-06,62.0,26.0,44.0
22,2023-01-06,38.0,16.0,27.0
22,2022-01-06,27.0,-2.0,12.5
23,2009-01-07,55.0,27.0,41.0
23,2012-01-07,38.0,23.0,30.5
23,2017-01-07,26.0,2.0,14.0
23,2022-01-07,57.0,18.0,37.5
23,2015-01-07,39.0,14.0,26.5
23,2018-01-07,48.0,26.0,37.0
23,2021-01-07,45.0,20.0,32.5
23,2016-01-07,35.0,28.0,31.5
23,2023-01-07,38.0,19.0,28.5
23,2020-01-07,58.0,27.0,42.5
23,2013-01-07,51.0,24.0,37.5
23,2011-01-07,40.0,25.0,32.5
23,2019-01-07,52.0,16.0,34.0
23,2010-01-07,13.0,-16.0,-1.5
24,2012-01-08,37.0,17.0,27.0
24,2021-01-08,43.0,19.0,31.0
24,2010-01-08,33.0,-11.0,11.0
24,2023-01-08,48.0,18.0,33.0
24,2019-01-08,50.0,22.0,36.0
24,2009-01-08,63.0,30.0,46.5
24,2020-01-08,62.0,28.0,45.0
24,2011-01-08,51.0,19.0,35.0
24,2017-01-08,48.0,12.0,30.0
24,2022-01-08,43.0,24.0,33.5
24,2015-01-08,49.0,19.0,34.0
24,2013-01-08,53.0,26.0,39.5
24,2016-01-08,29.0,18.0,23.5
24,2018-01-08,49.0,24.0,36.5
25,2022-01-09,34.0,19.0,26.5
25,2020-01-09,43.0,24.0,33.5
25,2013-01-09,60.0,22.0,41.0
25,2017-01-09,62.0,31.0,46.5
25,2015-01-09,29.0,15.0,22.0
25,2016-01-09,28.0,6.0,17.0
25,2011-01-09,37.0,12.0,24.5
25,2019-01-09,50.0,23.0,36.5
25,2023-01-09,44.0,22.0,33.0
25,2021-01-09,32.0,24.0,28.0
25,2012-01-09,50.0,24.0,37.0
25,2010-01-09,40.0,10.0,25.0
25,2009-01-09,44.0,19.0,31.5
25,2018-01-09,68.0,34.0,51.0
26,2015-01-10,56.0,22.0,39.0
26,2022-01-10,56.0,24.0,40.0
26,2023-01-10,53.0,28.0,40.5
